Timestamp,Src_IP,Src_Port,Dst_IP,Dst_Port,Flags,Label,Desc,Packet_Count_src,Packet_Count_dst
2025-06-16 11:50:47,10.19.31.184,55604,10.19.29.124,3128,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,7,176
2025-06-16 11:50:47,10.19.31.184,56076,10.19.29.124,80,FA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,14,2257
2025-06-16 11:50:47,10.19.29.124,80,10.19.31.184,56076,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,1616,9
2025-06-16 11:50:47,10.19.31.184,55656,10.19.29.124,3128,S,NMAP/Port_Scan,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : NMAP/Port_Scan,1,177
2025-06-16 11:50:47,10.19.29.124,3128,10.19.31.184,55656,SA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,91,4
2025-06-16 11:50:47,10.19.31.184,51538,10.19.29.124,22,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,2,18
2025-06-16 11:50:47,10.19.31.184,55634,10.19.29.124,3128,PA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,3,178
2025-06-16 11:50:47,10.19.31.184,56118,10.19.29.124,80,PA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,3,2258
2025-06-16 11:50:47,10.19.31.184,56102,10.19.29.124,80,PA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,3,2259
2025-06-16 11:50:47,10.19.29.124,3128,10.19.31.184,55634,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,92,2
2025-06-16 11:50:47,10.19.29.124,80,10.19.31.184,56102,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,1617,2
2025-06-16 11:50:47,10.19.29.124,80,10.19.31.184,56118,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,1618,2
2025-06-16 11:50:47,10.19.29.124,3128,10.19.31.184,55634,PA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,93,3
2025-06-16 11:50:47,10.19.29.124,3128,10.19.31.184,55634,FA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,94,4
2025-06-16 11:50:47,10.19.29.124,80,10.19.31.184,56102,PA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,1619,3
2025-06-16 11:50:47,10.19.29.124,80,10.19.31.184,56102,FA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,1620,4
